
  
   Local          | Remote         | Time (UTC)          
                  | 20251116       | 20251116            
                  | 20251117190000 | 2025-11-17 19:00:00 
                  | 20251117205000 | 2025-11-17 20:50:00 
                  | 20251118130000 | 2025-11-18 13:00:00 
                  | 20251118141000 | 2025-11-18 14:10:00 
                  | 20251118160000 | 2025-11-18 16:00:00 
                  | 20251118170000 | 2025-11-18 17:00:00 
                  | 20251119135621 | 2025-11-19 13:56:21 
                  | 20251121195000 | 2025-11-21 19:50:00 
                  | 20251124144000 | 2025-11-24 14:40:00 
                  | 20251125141000 | 2025-11-25 14:10:00 
                  | 20251126000000 | 2025-11-26 00:00:00 
                  | 20251129163735 | 2025-11-29 16:37:35 
                  | 20251130170000 | 2025-11-30 17:00:00 
                  | 20251202120000 | 2025-12-02 12:00:00 
                  | 20251202160000 | 2025-12-02 16:00:00 
                  | 20251202161000 | 2025-12-02 16:10:00 
   20251219002800 |                | 2025-12-19 00:28:00 
   20251219003000 |                | 2025-12-19 00:30:00 
   20251226       |                | 20251226            
   20251231       |                | 20251231            
   20260117       |                | 20260117            
   20260118       |                | 20260118            
   20260120       |                | 20260120            
   20260124       |                | 20260124            
   20260126125806 |                | 2026-01-26 12:58:06 
   20260203       |                | 20260203            
   20260206213430 |                | 2026-02-06 21:34:30 
   20260207144113 |                | 2026-02-07 14:41:13 
   20260207170000 |                | 2026-02-07 17:00:00 

